locality,lon,lat,Age,region,Country,group.name
Canada Brusca (Aguilas),-1.58296872,37.41181363,Zanclean,Western Mediterranean,Spain,bivalves
Canal (Bajo Segura Basin),-0.662549,38.069458,Zanclean,Western Mediterranean,Spain,benthic_foraminifera
Cap des Trois Fourches (Melilla),-2.99356822,35.43506907,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
Cap Figalo,-1.196025305,35.57249918,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Cap Figalo,-1.196025305,35.57249918,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Capo di Fiume (Porrara),15.04087071,40.44978375,pre-evaporitic Messinian,Western Mediterranean,Italy,fish
Capo Ognina (Sicily),15.26666667,36.96656296,Tortonian,Eastern Mediterranean,Italy,corals
Capo Rossello (Sicily),13.45020358,37.29517893,Zanclean,Eastern Mediterranean,Italy,benthic_foraminifera
Capo Rossello (Sicily),13.45020358,37.29517893,Zanclean,Eastern Mediterranean,Italy,dinocysts
Capo Rossello (Sicily),13.45020358,37.29517893,Zanclean,Eastern Mediterranean,Italy,nanoplankton
Capo Rossello (Sicily),13.45020358,37.29517893,Zanclean,Eastern Mediterranean,Italy,ostracods
Capo Rossello (Sicily),13.45020358,37.29517893,Zanclean,Eastern Mediterranean,Italy,planktic_foraminifera
"Capo Rossello, log 41 (Sicily)",13.463869,37.295711,pre-evaporitic Messinian,Eastern Mediterranean,Italy,dinocysts
"Capo Rossello, log 41 (Sicily)",13.463869,37.295711,Zanclean,Eastern Mediterranean,Italy,dinocysts
Capo San Marco (Sardinia),8.435954999,39.86262995,pre-evaporitic Messinian,Western Mediterranean,Italy,dinocysts
Capo San Marco (Sardinia),8.435954999,39.86262995,pre-evaporitic Messinian,Western Mediterranean,Italy,nanoplankton
Capo San Marco (Sardinia),8.435954999,39.86262995,Tortonian,Western Mediterranean,Italy,bivalves
Capo San Marco (Sardinia),8.435954999,39.86262995,Tortonian,Western Mediterranean,Italy,dinocysts
Capo San Marco (Sardinia),8.435954999,39.86262995,Tortonian,Western Mediterranean,Italy,echinoids
Capo San Marco (Sardinia),8.435954999,39.86262995,Tortonian,Western Mediterranean,Italy,gastropods
Capo San Marco (Sardinia),8.435954999,39.86262995,Tortonian,Western Mediterranean,Italy,nanoplankton
Capo San Marco (Sardinia),8.435954999,39.86262995,Tortonian,Western Mediterranean,Italy,ostracods
Capo San Marco (Sardinia),8.435954999,39.86262995,Zanclean,Western Mediterranean,Italy,nanoplankton
Capodarso (Sicily),14.14555848,37.49512848,pre-evaporitic Messinian,Eastern Mediterranean,Italy,dinocysts
Capodarso (Sicily),14.14555848,37.49512848,Tortonian,Eastern Mediterranean,Italy,dinocysts
Carafa del Bianco,16.08759469,38.09214915,Zanclean,Eastern Mediterranean,Italy,ostracods
Carboneras,-1.891980658,36.99906307,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Caria Vibo Valentia (Calabria),15.90621072,38.646316,Tortonian,Eastern Mediterranean,Italy,marine_mammals
Carianne (Vaucluse_Rhone delta),4.934946232,44.23347138,Tortonian,Western Mediterranean,France,ostracods
Cariatiz,-2.087810208,37.14532134,pre-evaporitic Messinian,Western Mediterranean,Spain,planktic_foraminifera
Carmona (Andalousia),-5.638966172,37.45488301,pre-evaporitic Messinian,Western Mediterranean,Spain,dinocysts
Carmona (Andalousia),-5.638966172,37.45488301,Tortonian,Western Mediterranean,Spain,dinocysts
Carnot,7.016431864,43.56269342,pre-evaporitic Messinian,Western Mediterranean,Algeria,ostracods
Carriatiz (Sorbas),-2.087810208,37.14532134,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Casa Caforno (Livorno),10.331635,43.54602,Tortonian,Western Mediterranean,Italy,corals
Casa Gessi (Emilia Romagna),12.37950564,43.97564413,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,bivalves
Casa Gessi (Emilia Romagna),12.37950564,43.97564413,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,gastropods
Casa Gessi (Emilia Romagna),12.37950564,43.97564413,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,ostracods
Casa Gessi (Emilia Romagna),12.37950564,43.97564413,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,scaphopod_chitons_cephalopods
Casa Pestavecchia,11.217923,43.670812,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,ostracods
Casa Villa (Piacenza),9.725801372,44.7806477,Tortonian,Po Plain-Northern Adriatic,Italy,gastropods
Casale Monferrato (Asti),8.333332245,44.8332054,Zanclean,Po Plain-Northern Adriatic,Italy,marine_mammals
Case il Poggio (Val di Pugna_Siena),11.34739,43.324001,Zanclean,Western Mediterranean,Italy,marine_mammals
Case Pelacani (Sicily),14.190065,37.719599,Tortonian,Eastern Mediterranean,Italy,planktic_foraminifera
Castelcebro,8.141794101,45.03293173,Zanclean,Po Plain-Northern Adriatic,Italy,planktic_foraminifera
Castellarano,10.73299147,44.51333854,Zanclean,Po Plain-Northern Adriatic,Italy,echinoids
Castelletto d'Orba (Alessandria),8.705635584,44.68437119,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,gastropods
Castelnuovo nei Monti (Reggio Emilia),10.40063613,44.43386956,Tortonian,Po Plain-Northern Adriatic,Italy,corals
Castlnau (Montpellier),3.898208978,43.63386614,Zanclean,Western Mediterranean,Spain,marine_mammals
Castrocaro,11.94768901,44.17059822,Zanclean,Po Plain-Northern Adriatic,Italy,echinoids
Catanzaro,16.58795616,38.91004955,Tortonian,Eastern Mediterranean,Italy,marine_mammals
Cava Cisterna (Cavallino),18.18937935,40.31665847,Tortonian,Western Mediterranean,Italy,marine_mammals
Cava Gentile (Vibo Valentia),16.093258,38.677807,Tortonian,Eastern Mediterranean,Italy,marine_mammals
Cava Macello (Lecce),18.202962,40.350206,pre-evaporitic Messinian,Eastern Mediterranean,Italy,ostracods
Cava Macello (Lecce),18.202962,40.350206,Tortonian,Eastern Mediterranean,Italy,ostracods
Cava Serredi (Tuscany),10.4575,43.493056,Zanclean,Western Mediterranean,Italy,dinocysts
Cava Serredi (Tuscany),10.4575,43.493056,Zanclean,Western Mediterranean,Italy,nanoplankton
Cava Serredi (Tuscany),10.4575,43.493056,Zanclean,Western Mediterranean,Italy,planktic_foraminifera
Cava Serredi (Tuscany),10.4575,43.493056,Zanclean,Western Mediterranean,Italy,sharks
Cejo de los Enamorados (Lorca),-1.711533018,37.67714591,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Central Crete,25.14212115,35.33729409,Tortonian,Eastern Mediterranean,Greece,corals
Central Crete,25.14212115,35.33729409,Tortonian,Eastern Mediterranean,Greece,scaphopod_chitons_cephalopods
Ceriale (Savona),8.231572374,44.0968177,Zanclean,Western Mediterranean,Italy,gastropods
Cerro de San Anton,-4.359077773,36.74546028,Zanclean,Western Mediterranean,Spain,ostracods
Cerro Mandras (Sorbas Basin),-2.126134,37.098512,pre-evaporitic Messinian,Western Mediterranean,Spain,bivalves
Cessaniti,16.02619506,38.66321062,Tortonian,Eastern Mediterranean,Italy,bivalves
Cessaniti,16.02619506,38.66321062,Tortonian,Eastern Mediterranean,Italy,echinoids
Cessaniti,16.02619506,38.66321062,Tortonian,Eastern Mediterranean,Italy,gastropods
Cessaniti,16.02619506,38.66321062,Tortonian,Eastern Mediterranean,Italy,marine_mammals
Cessaniti,16.02619506,38.66321062,Tortonian,Eastern Mediterranean,Italy,sharks
Chania (Crete),24.0178734,35.51455258,Tortonian,Eastern Mediterranean,Greece,echinoids
Chania (Crete),24.0178734,35.51455258,Tortonian,Eastern Mediterranean,Greece,fish
Charf el Akab,-4.528894,34.975688,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
Charf el Akab,-4.528894,34.975688,Tortonian,Western Mediterranean,Morocco,bivalves
Charouit (Kedbana),-1.485863,35.27162,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Chelif Basin,1.35288336,36.17300912,Tortonian,Western Mediterranean,Algeria,corals
Cherasco (Cuneo),7.858247909,44.64725729,Zanclean,Po Plain-Northern Adriatic,Italy,gastropods
Cheurfa,7.55427323,36.72170685,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Chianciano Terme (Siena),11.81489776,43.04481588,Zanclean,Western Mediterranean,Italy,marine_mammals
Chicamo River (Fortuna Basin),-0.992748,38.260768,pre-evaporitic Messinian,Western Mediterranean,Spain,fish
Chieri (Torino),7.827231536,45.00910222,Tortonian,Po Plain-Northern Adriatic,Italy,corals
Chimilin (Chambery_Isere_Rhone),5.600538056,45.576788,Tortonian,Western Mediterranean,France,corals
Chomatolakkos (Crete),25.76821779,35.01800733,Tortonian,Eastern Mediterranean,Greece,gastropods
Ciolo (Salento),18.38551208,39.84412422,pre-evaporitic Messinian,Eastern Mediterranean,Italy,corals
Cisterna Quarry (Pietra Leccese),18.30029138,40.15304884,Tortonian,Eastern Mediterranean,Italy,marine_mammals
Citadelle Montpellier,3.884921483,43.61157581,Zanclean,Western Mediterranean,France,marine_mammals
Ciuciano (Siena),11.030421,43.42663155,Zanclean,Western Mediterranean,Italy,gastropods
Coalba (Valsugana),12.369434,45.746719,Tortonian,Po Plain-Northern Adriatic,Italy,bivalves
Coalba (Valsugana),12.369434,45.746719,Tortonian,Po Plain-Northern Adriatic,Italy,gastropods
Cobatillas,-1.07733019,38.05595046,Tortonian,Western Mediterranean,Spain,fish
Colli Torinesi,7.626168,45.145694,Tortonian,Po Plain-Northern Adriatic,Italy,gastropods
Colline di Montiglio,8.09839061,45.06451519,Zanclean,Po Plain-Northern Adriatic,Italy,marine_mammals
Columbares,-1.022353656,37.92507042,pre-evaporitic Messinian,Western Mediterranean,Spain,fish
Com (Antakia),36.2,32.033333,Tortonian,Eastern Mediterranean,Turkey,ostracods
Comtat (Vaucluse_Rhone),4.800143307,43.94832933,Tortonian,Western Mediterranean,France,corals
Conidoni,16.03700394,38.70435664,Tortonian,Eastern Mediterranean,Italy,echinoids
Contrada Bessima (Sicily),14.140888,37.458343,pre-evaporitic Messinian,Eastern Mediterranean,Italy,fish
Cortandone (Sabbir d'Asti_Piedmont),8.059678799,44.95791724,Zanclean,Po Plain-Northern Adriatic,Italy,marine_mammals
Cortijo Ruil,-2.212821,36.954734,pre-evaporitic Messinian,Western Mediterranean,Spain,fish
Corvera (San Migues de Salinas Basin),-1.158046023,37.830972,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Cozzo San Pantaleo,9.467753604,41.04609173,pre-evaporitic Messinian,Western Mediterranean,Italy,ostracods
Cozzo tunisino,14.002222,37.663611,pre-evaporitic Messinian,Eastern Mediterranean,Italy,ostracods
Crescentino (Vercelli_Piedmont),8.102660891,45.19189786,Zanclean,Po Plain-Northern Adriatic,Italy,ostracods
Crete,24.80635239,35.2360624,pre-evaporitic Messinian,Eastern Mediterranean,Greece,bivalves
Crete,24.80635239,35.2360624,pre-evaporitic Messinian,Eastern Mediterranean,Greece,bryozoans
Crete,24.80635239,35.2360624,pre-evaporitic Messinian,Eastern Mediterranean,Greece,corals
Crete,24.80635239,35.2360624,Tortonian,Eastern Mediterranean,Greece,bryozoans
Crete,24.80635239,35.2360624,Tortonian,Eastern Mediterranean,Greece,corals
Crete,24.80635239,35.2360624,Tortonian,Eastern Mediterranean,Greece,gastropods
Cropalati,16.72444556,39.51568086,pre-evaporitic Messinian,Eastern Mediterranean,Italy,ostracods
Cropalati,16.72444556,39.51568086,Tortonian,Eastern Mediterranean,Italy,ostracods
Cubertera (Catalonia),2.290282905,41.53294642,Tortonian,Western Mediterranean,Spain,sharks
Cubertera and Ca'n Mayol (Catalonia),2.290282905,41.53294642,Tortonian,Western Mediterranean,Spain,sharks
Cucuron,5.440540383,43.77202725,Tortonian,Western Mediterranean,France,echinoids
Cuenca de Vera (Almeria),-1.867775738,37.24772614,Zanclean,Western Mediterranean,Spain,marine_mammals
Cuenca del Bajo Segura,-0.715421,37.954226,Tortonian,Western Mediterranean,Spain,marine_mammals
Cuenca del Bajo Segura,-0.715421,37.954226,Zanclean,Western Mediterranean,Spain,marine_mammals
Cuenca del Guadalquivir,-4.792678052,38.06405204,pre-evaporitic Messinian,Western Mediterranean,Spain,fish
Cuenca del Guadalquivir,-4.792678052,38.06405204,Tortonian,Western Mediterranean,Spain,fish
Cuevas del Almanzora (Vera Basin),-1.875975012,37.29216362,Zanclean,Western Mediterranean,Spain,planktic_foraminifera
Cyprus,33.22271443,35.04608186,Tortonian,Eastern Mediterranean,Cyprus,corals
Cyprus,33.22271443,35.04608186,Zanclean,Eastern Mediterranean,Cyprus,bivalves
Damanhour South 1 well (Nile delta),30.47278948,31.04243801,pre-evaporitic Messinian,Eastern Mediterranean,Egypt,dinocysts
Damanhour South 1 well (Nile delta),30.47278948,31.04243801,Zanclean,Eastern Mediterranean,Egypt,dinocysts
De Ferrari square (Genova),8.934029072,44.40718487,Zanclean,Western Mediterranean,Italy,marine_mammals
Dertone (Tortona),8.863702842,44.89498783,Tortonian,Po Plain-Northern Adriatic,Italy,corals
Djebel Aoud Sma (Lower Chelif Basin),-0.288055635,35.50253412,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Djebel Ben Dourda (Chelif Basin),0.395278,36.085,pre-evaporitic Messinian,Western Mediterranean,Algeria,nanoplankton
Djebel Ben Dourda (Chelif Basin),0.395278,36.085,Tortonian,Western Mediterranean,Algeria,nanoplankton
Djebel Krechem,1.182948215,33.2534619,Tortonian,Western Mediterranean,Algeria,marine_mammals
Djebel Meni,0.439166665,36.00222133,Tortonian,Western Mediterranean,Algeria,planktic_foraminifera
Djebel Skouna,-1.39384602,35.26076235,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Djebel Tadjahmoumat (Lowe Chelif Basin),1.473065449,36.28278792,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Djebel Touaka (El Ghomri_Djebel Menie_Abreuvoir),0.499722165,35.51333248,Zanclean,Western Mediterranean,Algeria,planktic_foraminifera
Djebouia (Chelif Basin),0.14204129,36.03264918,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Douar Sidi Bou Azza (Tafna Basin),-1.431126931,35.20732807,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Doue-la-Fontaine (Maine et Loire),4.885485038,43.71817083,Tortonian,Western Mediterranean,France,corals
Draa Sidi Saada (Guercif Basin),-3.148527,34.266293,Tortonian,Western Mediterranean,Morocco,corals
Draa Sidi Saada (Guercif Basin),-3.148527,34.266293,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
Dragopsa,20.68329478,39.59543397,Tortonian,Eastern Mediterranean,Greece,echinoids
Drosi (Crete),24.92818068,35.11940434,Tortonian,Eastern Mediterranean,Greece,ostracods
East Crete,25.87348358,35.15744102,Tortonian,Eastern Mediterranean,Greece,bivalves
El Alamillo (Cuenca de Mazarrian_Murcia),-1.248471618,37.57461691,Zanclean,Western Mediterranean,Spain,marine_mammals
El Lobillo (Estepona),-5.140962257,36.43257401,Zanclean,Western Mediterranean,Spain,gastropods
El Mazar 1 well (North Sinai),33.38114052,31.04129245,pre-evaporitic Messinian,Eastern Mediterranean,Egypt,dinocysts
El Mazar 1 well (North Sinai),33.38114052,31.04129245,Tortonian,Eastern Mediterranean,Egypt,dinocysts
El Menzel (SE Fes),-4.835304691,33.83051541,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
El Menzel (SE Fes),-4.835304691,33.83051541,Tortonian,Western Mediterranean,Morocco,corals
El Ouata (South Fes),-4.690042951,33.878126,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
El Plomo (Almeria),-2.431024,36.822086,Tortonian,Western Mediterranean,Spain,corals
El Qawasim 1 well (Nile delta),31.645471,30.824659,Tortonian,Eastern Mediterranean,Egypt,dinocysts
El Qawasim 1 well (Nile delta),31.645471,30.824659,Zanclean,Eastern Mediterranean,Egypt,dinocysts
Elche,-0.71268491,38.26982958,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Empoli,10.94764514,43.71772617,Zanclean,Po Plain-Northern Adriatic,Italy,ostracods
Enna (Sicily),14.27989212,37.56802925,Tortonian,Eastern Mediterranean,Italy,ostracods
Episkopi,32.871619,34.692641,pre-evaporitic Messinian,Eastern Mediterranean,Cyprus,gastropods
Episkopi,32.871619,34.692641,Tortonian,Eastern Mediterranean,Cyprus,gastropods
Eraclea Minoa (Sicily),13.29124131,37.39422461,Zanclean,Eastern Mediterranean,Italy,benthic_foraminifera
Eraclea Minoa (Sicily),13.29124131,37.39422461,Zanclean,Eastern Mediterranean,Italy,dinocysts
Eraclea Minoa (Sicily),13.29124131,37.39422461,Zanclean,Eastern Mediterranean,Italy,ostracods
Eraclea Minoa (Sicily),13.29124131,37.39422461,Zanclean,Eastern Mediterranean,Italy,planktic_foraminifera
Escaravatier (Var),6.682747269,43.44453956,Zanclean,Western Mediterranean,France,dinocysts
Essovouyes-Exovouyes,33.532317,35.011483,Zanclean,Eastern Mediterranean,Cyprus,planktic_foraminifera
Estepona,5.150278,36.426111,Zanclean,Western Mediterranean,Spain,nanoplankton
Estepona Basin,5.150278,36.426111,Zanclean,Western Mediterranean,Spain,fish
Eyssarettes Puymyras (Rhone delta),5.139205765,44.28343229,Tortonian,Western Mediterranean,France,ostracods
Falconara (Sicily),14.568889,37.127222,pre-evaporitic Messinian,Eastern Mediterranean,Italy,ostracods
Falconara (Sicily),14.568889,37.127222,pre-evaporitic Messinian,Eastern Mediterranean,Italy,planktic_foraminifera
Falconara (Sicily),14.568889,37.127222,Tortonian,Eastern Mediterranean,Italy,ostracods
Falconara (Sicily),14.568889,37.127222,Tortonian,Eastern Mediterranean,Italy,planktic_foraminifera
Fanantello (Vena del Gesso),12.103611,43.949722,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,nanoplankton
Faneromeni (Crete),26.063786,35.223744,pre-evaporitic Messinian,Eastern Mediterranean,Greece,benthic_foraminifera
Faneromeni (Crete),26.063786,35.223744,pre-evaporitic Messinian,Eastern Mediterranean,Greece,bivalves
Faneromeni (Crete),26.063786,35.223744,pre-evaporitic Messinian,Eastern Mediterranean,Greece,dinocysts
Faneromeni (Crete),26.063786,35.223744,pre-evaporitic Messinian,Eastern Mediterranean,Greece,fish
Faneromeni (Crete),26.063786,35.223744,pre-evaporitic Messinian,Eastern Mediterranean,Greece,nanoplankton
Faneromeni (Crete),26.063786,35.223744,pre-evaporitic Messinian,Eastern Mediterranean,Greece,ostracods
Faneromeni (Crete),26.063786,35.223744,pre-evaporitic Messinian,Eastern Mediterranean,Greece,planktic_foraminifera
Faneromeni (Crete),26.063786,35.223744,Tortonian,Eastern Mediterranean,Greece,benthic_foraminifera
Faneromeni (Crete),26.063786,35.223744,Tortonian,Eastern Mediterranean,Greece,bivalves
Faneromeni (Crete),26.063786,35.223744,Tortonian,Eastern Mediterranean,Greece,dinocysts
Faneromeni (Crete),26.063786,35.223744,Tortonian,Eastern Mediterranean,Greece,fish
Faneromeni (Crete),26.063786,35.223744,Tortonian,Eastern Mediterranean,Greece,nanoplankton
Faneromeni (Crete),26.063786,35.223744,Tortonian,Eastern Mediterranean,Greece,ostracods
Faneromeni (Crete),26.063786,35.223744,Tortonian,Eastern Mediterranean,Greece,planktic_foraminifera
Faro Santa Croce (Ragusa_Sicily),15.25621329,37.24340529,pre-evaporitic Messinian,Eastern Mediterranean,Italy,bivalves
Faro Santa Croce (Ragusa_Sicily),15.25621329,37.24340529,pre-evaporitic Messinian,Eastern Mediterranean,Italy,gastropods
Fawwara,14.40955637,35.83968102,Tortonian,Eastern Mediterranean,Malta,fish
Fedj el Alem,2.99823,36.276595,Tortonian,Western Mediterranean,Algeria,corals
Fes,-5.007530425,34.01902623,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
Fes,-5.007530425,34.01902623,Tortonian,Western Mediterranean,Morocco,bivalves
Fes,-5.007530425,34.01902623,Tortonian,Western Mediterranean,Morocco,corals
Festos (Crete),24.86400599,35.05404272,Tortonian,Eastern Mediterranean,Greece,bivalves
Figaiolles (Montpellier),3.861787889,43.60498232,Zanclean,Western Mediterranean,France,marine_mammals
Figueras (Catalonia),2.958119775,42.26556721,Zanclean,Western Mediterranean,Spain,fish
Filippi (Crete),25.24253712,35.03548908,Tortonian,Eastern Mediterranean,Greece,bivalves
Filippi (Crete),25.24253712,35.03548908,Tortonian,Eastern Mediterranean,Greece,gastropods
Filippi (Crete),25.24253712,35.03548908,Tortonian,Eastern Mediterranean,Greece,marine_mammals
Fitilli,25.148276,35.160764,Tortonian,Eastern Mediterranean,Greece,marine_mammals
Fiumara Capperano,8.882323198,44.41224372,Zanclean,Western Mediterranean,Italy,ostracods
Forage de Douiet,2.061702,35.105186,pre-evaporitic Messinian,Western Mediterranean,Algeria,planktic_foraminifera
Forage de Douiet,2.061702,35.105186,Tortonian,Western Mediterranean,Algeria,planktic_foraminifera
Formentera,1.453304891,38.69639265,Tortonian,Western Mediterranean,Spain,corals
Fornaci (Savona),8.27255977,44.16168974,Zanclean,Western Mediterranean,Italy,marine_mammals
Fornaci San Quirico d'Orcia (Siena),11.6049651,43.05795524,Zanclean,Western Mediterranean,Italy,marine_mammals
Fornaciari (Piacenza),9.385261,44.932149,Tortonian,Po Plain-Northern Adriatic,Italy,bivalves
Fornaciari (Piacenza),9.385261,44.932149,Tortonian,Po Plain-Northern Adriatic,Italy,gastropods
Forte Luesci,13.550736,32.201435,Tortonian,Eastern Mediterranean,Libya,corals
Fortuna Basin,-1.124445651,38.1806921,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Fortuna Basin,-1.124445651,38.1806921,Tortonian,Western Mediterranean,Spain,corals
Fuehat,13.594682,32.275776,Tortonian,Eastern Mediterranean,Libya,corals
Fuengirola (Malaga),-4.624070573,36.54390083,Zanclean,Western Mediterranean,Spain,bivalves
Gabbro (Tuscany),10.44423102,43.48148738,pre-evaporitic Messinian,Western Mediterranean,Italy,fish
Gabo de Gata (Almeria),-2.241909795,36.78169681,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Gallina (Calabria),15.67834071,38.08629013,Zanclean,Eastern Mediterranean,Italy,ostracods
Gambetta-St. Eugene (Chelif Basin),-0.617733,35.715377,pre-evaporitic Messinian,Western Mediterranean,Algeria,fish
Gare Saint Paul de Lyon (Rhone),4.827356398,45.76612759,Tortonian,Western Mediterranean,France,corals
Gargar (Lower Chelif Basin),-0.566106,35.63019,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Garruchal (Bajo Segura Basin),-1.016124773,37.83189623,pre-evaporitic Messinian,Western Mediterranean,Spain,benthic_foraminifera
Garruchal (Bajo Segura Basin),-1.016124773,37.83189623,Tortonian,Western Mediterranean,Spain,benthic_foraminifera
Gavazzana (Alessandria),8.886163628,44.77574642,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,gastropods
Gavdos,24.08447853,34.84628185,pre-evaporitic Messinian,Eastern Mediterranean,Greece,fish
Gavdos,24.08447853,34.84628185,Tortonian,Eastern Mediterranean,Greece,echinoids
Gavdos,24.08447853,34.84628185,Tortonian,Eastern Mediterranean,Greece,fish
Gello,10.42491251,43.75546181,pre-evaporitic Messinian,Western Mediterranean,Italy,planktic_foraminifera
Genova,8.945755895,44.40521056,Zanclean,Western Mediterranean,Italy,gastropods
Gerace (Calabria),16.22162446,38.27196012,Zanclean,Eastern Mediterranean,Italy,ostracods
Gergeri-Raptis (Crete),24.964444,35.1125,Tortonian,Eastern Mediterranean,Greece,ostracods
Gessaro and Stingeti,14.880278,41.902222,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,nanoplankton
Gessaro and Stingeti,14.880278,41.902222,Zanclean,Po Plain-Northern Adriatic,Italy,nanoplankton
Gessaro quarry,14.895833,41.889722,Zanclean,Po Plain-Northern Adriatic,Italy,ostracods
Ghajn Znuber,14.3434165,35.95004229,pre-evaporitic Messinian,Eastern Mediterranean,Malta,corals
Ghar Lapsi,14.42476784,35.82723971,Tortonian,Eastern Mediterranean,Malta,corals
Gibliscemi,14.268056,37.204444,pre-evaporitic Messinian,Eastern Mediterranean,Italy,benthic_foraminifera
Gibliscemi,14.268056,37.204444,pre-evaporitic Messinian,Eastern Mediterranean,Italy,dinocysts
Gibliscemi,14.268056,37.204444,pre-evaporitic Messinian,Eastern Mediterranean,Italy,fish
Gibliscemi,14.268056,37.204444,pre-evaporitic Messinian,Eastern Mediterranean,Italy,planktic_foraminifera
Gibliscemi,14.268056,37.204444,Tortonian,Eastern Mediterranean,Italy,benthic_foraminifera
Gibliscemi,14.268056,37.204444,Tortonian,Eastern Mediterranean,Italy,dinocysts
Gibliscemi,14.268056,37.204444,Tortonian,Eastern Mediterranean,Italy,nanoplankton
Gibliscemi,14.268056,37.204444,Tortonian,Eastern Mediterranean,Italy,planktic_foraminifera
Giolou,32.4769269,34.92264258,Zanclean,Eastern Mediterranean,Cyprus,planktic_foraminifera
Giusulana (Alessandria),8.91221133,44.77547522,Tortonian,Po Plain-Northern Adriatic,Italy,gastropods
Gonies (Crete),25.44248574,35.22983362,Tortonian,Eastern Mediterranean,Greece,gastropods
Gonies (Crete),25.44248574,35.22983362,Tortonian,Eastern Mediterranean,Greece,scaphopod_chitons_cephalopods
Gonies (Crete),25.44248574,35.22983362,Zanclean,Eastern Mediterranean,Greece,gastropods
Gonies I (Kythira),22.975967,36.298506,Tortonian,Eastern Mediterranean,Greece,ostracods
Gonies II (Kythira),22.975967,36.298506,Tortonian,Eastern Mediterranean,Greece,ostracods
Gonies III (Kythira),22.975967,36.298506,Tortonian,Eastern Mediterranean,Greece,ostracods
Gorgo (Livorno),10.33936,43.568537,Tortonian,Western Mediterranean,Italy,corals
Gortys (Crete),25.095278,35.154722,pre-evaporitic Messinian,Eastern Mediterranean,Greece,nanoplankton
Gortys (Crete),25.095278,35.154722,Tortonian,Eastern Mediterranean,Greece,bivalves
Gortys (Crete),25.095278,35.154722,Tortonian,Eastern Mediterranean,Greece,gastropods
Gortys (Crete),25.095278,35.154722,Zanclean,Eastern Mediterranean,Greece,nanoplankton
Gozo,14.25088289,36.04420402,Tortonian,Eastern Mediterranean,Malta,corals
Gozo,14.25088289,36.04420402,Tortonian,Eastern Mediterranean,Malta,marine_mammals
Gramvoussa (Crete),23.5847582,35.62644822,Tortonian,Eastern Mediterranean,Greece,corals
Granada Basin,-3.598829596,37.17750534,pre-evaporitic Messinian,Western Mediterranean,Spain,planktic_foraminifera
Granada Basin,-3.598829596,37.17750534,Tortonian,Western Mediterranean,Spain,corals
Granada Basin,-3.598829596,37.17750534,Tortonian,Western Mediterranean,Spain,planktic_foraminifera
Greece,21.81490104,39.03975838,pre-evaporitic Messinian,Eastern Mediterranean,Greece,scaphopod_chitons_cephalopods
Greece,21.81490104,39.03975838,Tortonian,Eastern Mediterranean,Greece,bivalves
Greece,21.81490104,39.03975838,Tortonian,Eastern Mediterranean,Greece,corals
Greece,21.81490104,39.03975838,Zanclean,Eastern Mediterranean,Greece,bivalves
Greensand,14.418924,35.938178,Tortonian,Eastern Mediterranean,Malta,marine_mammals
Guadalmansa (Estepona_Malaga),-5.063694753,36.45182472,Zanclean,Western Mediterranean,Spain,bivalves
Guadalmansa (Estepona_Malaga),-5.063694753,36.45182472,Zanclean,Western Mediterranean,Spain,gastropods
Guadix Basin,-3.14024084,37.30135287,Tortonian,Western Mediterranean,Spain,corals
Guardavalle (Catanzaro_Calabria),16.50142193,38.50614218,Tortonian,Eastern Mediterranean,Italy,corals
Guarene d'Alba (Cuneo),8.045040712,44.72918991,Tortonian,Po Plain-Northern Adriatic,Italy,gastropods
Guercif Basin,-3.349542616,34.23032187,pre-evaporitic Messinian,Western Mediterranean,Morocco,planktic_foraminifera
