locality,lon,lat,Age,region,Country,group.name
Agua Amarga Basin (Almeria),1.934261,36.938247,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Ahermoumou_El Menzel_Arham Amellal,4.414689,33.820661,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
Ain Bou M'Saad (Taza_Guercif Basin),3.291667,34.181389,Tortonian,Western Mediterranean,Morocco,corals
Ain ed Dehane (Lower Chelif Basin),6.590836,36.335453,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Ain ed Dehane (Lower Chelif Basin),6.590836,36.335453,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Ain Lorna 1 (Sais Basin),-4.958074,33.934832,Tortonian,Western Mediterranean,Morocco,bivalves
Ain Lorna 2 (Sais Basin),-4.958074,33.934832,Tortonian,Western Mediterranean,Morocco,bivalves
Ain Temouchent,1.139281,35.299269,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Ain Zitoun (Beni Ouarsous),7.015742,35.712992,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Ain Zohra,3.523092,34.681908,Tortonian,Western Mediterranean,Morocco,corals
Ait Amar (Melilla Basin),-3.021431097,35.20219821,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
Ait Hossein (Segangane Basin),-3.00771109,35.15065366,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
Aksu,30.766639,37.088986,pre-evaporitic Messinian,Eastern Mediterranean,Turkey,corals
Aktepe (Hatay Graben),36.08597333,36.20008247,Zanclean,Eastern Mediterranean,Turkey,bivalves
Aktepe (Hatay Graben),36.08597333,36.20008247,Zanclean,Eastern Mediterranean,Turkey,gastropods
Al Khmus,14.2679,32.65095,Tortonian,Eastern Mediterranean,Libya,ostracods
Al Khmus,14.2679,32.65095,pre-evaporitic Messinian,Eastern Mediterranean,Libya,ostracods
Al Khmus,14.2679,32.65095,Zanclean,Eastern Mediterranean,Libya,sharks
Alba (Piedmont),8.035692,44.700914,Tortonian,Po Plain-Northern Adriatic,Italy,fish
Alba (Piedmont),8.035692,44.700914,Zanclean,Po Plain-Northern Adriatic,Italy,bivalves
Alba (Piedmont),8.035692,44.700914,Zanclean,Po Plain-Northern Adriatic,Italy,fish
Alba (Piedmont),8.035692,44.700914,Zanclean,Po Plain-Northern Adriatic,Italy,gastropods
Alba (Piedmont),8.035692,44.700914,Zanclean,Po Plain-Northern Adriatic,Italy,sharks
Albenga (Liguria),8.196731,44.044458,Tortonian,Western Mediterranean,Italy,corals
Albenga (Liguria),8.196731,44.044458,Zanclean,Western Mediterranean,Italy,gastropods
Alcala de Guadara (Sevilla),5.859722,37.339711,Zanclean,Western Mediterranean,Spain,marine_mammals
Algeria,3.062958,36.621428,pre-evaporitic Messinian,Western Mediterranean,Algeria,bryozoans
Algeria,3.062958,36.621428,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Algeria,3.062958,36.621428,Tortonian,Western Mediterranean,Algeria,corals
Algiers,3.062958,36.621431,Zanclean,Western Mediterranean,Algeria,bryozoans
Alicante Basin,0.566917,38.367664,pre-evaporitic Messinian,Western Mediterranean,Spain,echinoids
Alicante Basin,0.566917,38.367664,pre-evaporitic Messinian,Western Mediterranean,Spain,ostracods
Alicante Basin,0.566917,38.367664,Tortonian,Western Mediterranean,Spain,echinoids
Alicante Basin,0.566917,38.367664,Tortonian,Western Mediterranean,Spain,ostracods
Alicante Basin,0.566917,38.367664,Tortonian,Western Mediterranean,Spain,sharks
Alicante Basin,0.566917,38.367664,Zanclean,Western Mediterranean,Spain,echinoids
Alicante Basin,0.566917,38.367664,Zanclean,Western Mediterranean,Spain,ostracods
Alicante Basin,0.566917,38.367664,Zanclean,Western Mediterranean,Spain,sharks
Almeria,2.483044,36.841817,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Almeria,2.483044,36.841817,pre-evaporitic Messinian,Western Mediterranean,Spain,echinoids
Almeria,2.483044,36.841817,Tortonian,Western Mediterranean,Spain,echinoids
Almeria,2.483044,36.841817,Zanclean,Western Mediterranean,Spain,echinoids
Almiri (Crete),24.333333,35.166667,Tortonian,Eastern Mediterranean,Greece,ostracods
Alt Emporda (Catalonia),3.034389,42.342333,Zanclean,Western Mediterranean,Spain,gastropods
Altavilla (Sicily),13.538628,38.038708,Zanclean,Eastern Mediterranean,Italy,echinoids
Amekrane (Melillia Basin),2.971922,35.271508,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
Andalousia,4.727753,37.544272,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Andalousia G1 (Alboran Sea),4.274919,36.778161,pre-evaporitic Messinian,Western Mediterranean,Spain,dinocysts
Andalousia G1 (Alboran Sea),4.274919,36.778161,Zanclean,Western Mediterranean,Spain,dinocysts
Ano Asites (Kavrochori),25.002528,35.193522,pre-evaporitic Messinian,Eastern Mediterranean,Greece,corals
Ano Moulia (Crete),24.995631,35.113122,pre-evaporitic Messinian,Eastern Mediterranean,Greece,ostracods
Antakia,36.191903,36.190361,Tortonian,Eastern Mediterranean,Turkey,ostracods
Antakia,36.191903,36.190361,pre-evaporitic Messinian,Eastern Mediterranean,Turkey,ostracods
Aphrodite_2 core (Levant Basin),34.008933,36.299703,pre-evaporitic Messinian,Eastern Mediterranean,offshore,nanoplankton
Apomarma (Crete),24.952375,35.113444,Tortonian,Eastern Mediterranean,Greece,marine_mammals
Apostoli (Crete),25.299619,35.219761,Tortonian,Eastern Mediterranean,Greece,ostracods
Apricena (Gargano_Apulia),15.462397,41.788225,Zanclean,Po Plain-Northern Adriatic,Italy,ostracods
Aquas Blancas Valley (Granada Basin),3.489583,37.179786,Tortonian,Western Mediterranean,Spain,corals
Arapali (T191 borehole),35.06241667,36.95510651,Zanclean,Eastern Mediterranean,Turkey,ostracods
Arapali (T191 borehole),35.06241667,36.95510651,Zanclean,Eastern Mediterranean,Turkey,planktic_foraminifera
Arbaa de Taourirt,3.832453,34.931758,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
Arbal,4.780867,36.562975,Tortonian,Western Mediterranean,Algeria,echinoids
Arbal,4.780867,36.562975,pre-evaporitic Messinian,Western Mediterranean,Algeria,echinoids
Arcille (Tuscany),11.285036,42.786717,Zanclean,Western Mediterranean,Italy,bivalves
Arcille (Tuscany),11.285036,42.786717,Zanclean,Western Mediterranean,Italy,marine_mammals
Arcos de la Frontera (Andalousia),5.811653,36.756006,pre-evaporitic Messinian,Western Mediterranean,Spain,dinocysts
Arenaria di Ponsano,10.984853,43.361506,Tortonian,Western Mediterranean,Italy,marine_mammals
